REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
LEFT,18118509207215334066,6126,134.5445556640625,449.38427734375,2.894505500793457
LEFT,18118509207215334066,6127,136.026123046875,447.9327087402344,2.8827145099639893
LEFT,18118509207215334066,6128,137.48123168945312,446.49896240234375,2.873455286026001
LEFT,18118509207215334066,6129,138.9110107421875,445.08203125,2.865264654159546
LEFT,18118509207215334066,6130,140.77801513671875,443.2196044921875,2.8502893447875977
LEFT,18118509207215334066,963,237.56756591796875,350.3084716796875,2.211214303970337
LEFT,18118509207215334066,965,240.50714111328125,347.452392578125,2.1957600116729736
LEFT,18118509207215334066,968,244.71324157714844,343.3702392578125,2.1613922119140625
LEFT,18118509207215334066,971,247.2445068359375,340.9174194335937,2.140310049057007
LEFT,18118509207215334066,972,248.932861328125,339.2836303710937,2.12500524520874
LEFT,18118509207215334066,973,250.20248413085935,338.0565795898437,2.112999677658081
LEFT,18118509207215334066,974,251.895751953125,336.4212341308594,2.097842216491699
LEFT,18118509207215334066,975,253.1673583984375,335.1941833496094,2.085693597793579
LEFT,18118509207215334066,976,254.8662872314453,333.55792236328125,2.066261053085327
LEFT,18118509207215334066,977,256.1408386230469,332.33184814453125,2.051830530166626
LEFT,18118509207215334066,981,258.696533203125,329.87969970703125,2.038102626800537
LEFT,18118509207215334066,982,259.977294921875,328.65264892578125,2.037407398223877
LEFT,18118509207215334066,984,262.9644470214844,325.7936096191406,2.0248167514801025
LEFT,18118509207215334066,985,264.2489624023437,324.5636291503906,2.0127594470977783
LEFT,18118509207215334066,991,271.5327453613281,317.6036376953125,1.974703311920166
LEFT,18118509207215334066,938,206.15982055664065,380.4652404785156,2.397056818008423
LEFT,18118509207215334066,941,209.08413696289065,377.6844787597656,2.393090009689331
LEFT,18118509207215334066,942,210.33901977539065,376.4910888671875,2.388798952102661
LEFT,18118509207215334066,944,213.2677154541016,373.7034912109375,2.36419939994812
LEFT,18118509207215334066,945,214.52479553222656,372.5062255859375,2.356301784515381
LEFT,18118509207215334066,947,217.4568634033203,369.7092895507813,2.3398988246917725
LEFT,18118509207215334066,949,220.3914337158203,366.9031066894531,2.3131768703460693
LEFT,18118509207215334066,869,120.44163513183594,463.20611572265625,2.9919278621673584
LEFT,18118509207215334066,1631,556.4054565429688,-114.19139862060548,3.3269057273864746
LEFT,18118509207215334066,1633,558.2531127929688,-116.2550277709961,3.318469762802124
LEFT,18118509207215334066,1643,568.7083129882812,-128.05020141601562,3.266562461853028
LEFT,18118509207215334066,1649,571.7756958007812,-131.5510711669922,3.2520735263824463
LEFT,18118509207215334066,1652,573.6150512695312,-133.6617889404297,3.243824958801269
